;Feature;Importance
0;BANHEIROS;717089.9610226644
1;FLAG_AR_CONDICIONADO;696518.3218924484
2;AREA;675742.7815240794
3;ANDARES;609366.4589354454
4;FLAG_QUARTO_HOSPEDE;543094.5466720796
5;FLAG_AREA_PREFERENCIAL;538415.7949644197
6;FLAG_AGUA_MORNA;523138.5363664411
7;FLAG_PORAO;491892.3172206625
8;VAGAS_ESTACIONAMENTO;306504.2523365908
9;FLAG_CENTRO;299788.268484273
10;MOBILIADA_SIM;192968.23813512587
11;QUARTOS;87844.46803525141
12;MOBILIADA_PARCIALMENTE;42617.97734223469
13;MOBILIADA_NAO;-235586.21547735846
